marketplace,marketplace_type,seller,total_volume
Sudoswap,Direct,0x5caf332dca4e6c9e69d52f320c21e74845353db0,1.253651995e+06
Sudoswap,Direct,0x0000007370af0000ad00be0efd2f1eb6e6e9d700,1.095368082033798e+06
Sudoswap,Direct,0x16f71d593bc6446a16ef84551cf8d76ff5973db1,1.0834061552867864e+06
Sudoswap,Direct,0x2c893b54e24188764ab71bbb72baca8990dea2e4,957347.4759666775
Sudoswap,Direct,0x73b9b4ab21ad26887d40534cd75ba991654a44ff,698784.219489214
Sudoswap,Direct,0xeae8bfe84fadd0b381a7c147303c550247960efa,683057.041838812
Sudoswap,Direct,0xb3041791fefe9284074713e4e14a6c4ddeeb57f9,669467.4224886852
Sudoswap,Direct,0x13082c7434c89d3112acf268ab6c82563ca97ad4,661289.728108694
Sudoswap,Direct,0x16f71d593bc6446a16ef84551cf8d76ff5973db1,655092.7529459269
Sudoswap,Direct,0x39477d0f0e3dbb85a32f95175ae3d47ef25c00ea,522514.04059766006
Sudoswap,Direct,0x3dfbc1cd2cfe460183631c72133deaf299969967,481135.97444077954
Sudoswap,Direct,0xb1fad4bcd1a6295c39ac02454f440752899966d6,461279.13740435103
Sudoswap,Direct,0x3dfbc1cd2cfe460183631c72133deaf299969967,454173.8867625975
Sudoswap,Direct,0xb3041791fefe9284074713e4e14a6c4ddeeb57f9,396125.2458692846
Sudoswap,Direct,0x9ac39cccf9ff65ff1aed17893dac2c941677119e,380594.7008499999
Sudoswap,Direct,0x948e67c0a3cb3ed30cae109ffa499727db63d819,380163.9939205211
Sudoswap,Direct,0x116a4ea2f3d2a1c41c82d88df87416d070b5d94e,375118.8770787642
Sudoswap,Direct,0x9b9c9e60e4bb6ceb552281ac9a66374446e10ef5,374558.58895000006
Sudoswap,Direct,0x1277f5266dead289eb6ab3f97a866f5854feb33d,368394.63751170324
Sudoswap,Direct,0x1f17df78662cf0df2b42220a7df391a2dbd89f56,354450.25071447477
Sudoswap,Direct,0xfff51043159fafaaf83dc0e904bbdc58164b42f1,350344.12774420285
Sudoswap,Direct,0x63e48552798d84376b294b83726095d53178a814,332635.1915018997
Sudoswap,Direct,0xb399313d2c259c966b0495ffc502686605323d3c,323953.05500000005
Sudoswap,Direct,0x0000009929ab383f0000e5e800f255c6c600ad32,322636.3970106932
Sudoswap,Direct,0x2f412fca64d514fa450a0a8ccb4bbea53c77a077,306919.52444999997
Sudoswap,Direct,0xa1c2ff024c313088ac9ec47ec68c67b2b5478035,304774.1847133
Sudoswap,Direct,0x39477d0f0e3dbb85a32f95175ae3d47ef25c00ea,301645.98608092184
Sudoswap,Direct,0x319aa0c0b9ac8286ee0a76aa3d9ec1ef524e776d,294504.14737066254
Sudoswap,Direct,0x88c5677336e252c7a53c29dd20375edc802a5919,284020.14368270204
Sudoswap,Direct,0xb082fc0de2684743c05ab5ef198c48cc471c4fa5,283613.36624221364
Sudoswap,Direct,0x0a9bf3d63cb2df981b49c0cba966373db758d59d,280690.1961458912
Sudoswap,Direct,0x9efc3eb6f34683fd08ed7c35ad377a50e107e8a0,273027.20924538345
Sudoswap,Direct,0x2244deba8c0e788a60b30b805ff970e082bdbc5a,253410.6667623165
Sudoswap,Direct,0x61b8d3d6f9f2e5c124e677d547734f8462f2a5ef,246140.07925586627
Sudoswap,Direct,0x9c91bf25e43b5b70cbe8e3e2a0eff0fd84ffdb1e,245161.62241241054
Sudoswap,Direct,0x12a0b78a305c988dceca9f1dfb196712b79336cc,244781.00254893192
Sudoswap,Direct,0x188e700338e0c89b82f9171e93d0504ae0105eee,242198.49983299995
Sudoswap,Direct,0x451018623f2ea29a625ac5e051720eeac2b0e765,241502.1513880476
Sudoswap,Direct,0x33d5cc43debe407d20dd360f4853385135f97e9d,237166.94644705075
Sudoswap,Direct,0x391b2e210870f605be93932236900bc873baaf39,232917.26483494314
Sudoswap,Direct,0xa5e45f443981fba491406d44131d13069316adf8,229284.48557687504
Sudoswap,Direct,0x78e437ebb20821ba77a81df2d3936fb3c01e29d7,228862.81968387592
Sudoswap,Direct,0xbbfb8588c36fd31b1b446fc55b9880ea6928b4ac,226901.29987516435
Sudoswap,Direct,0x451018623f2ea29a625ac5e051720eeac2b0e765,215554.62538836422
Sudoswap,Direct,0xd2a6d0280ff48ccbcd654d5d0ecc45ef1e1cdbc3,213132.2861001399
Sudoswap,Direct,0xa5e45f443981fba491406d44131d13069316adf8,211983.08078750002
Sudoswap,Direct,0x0a9bf3d63cb2df981b49c0cba966373db758d59d,208816.3357573281
Sudoswap,Direct,0x5f7dcff503c0e92e92dd1d967bd569565bf90f01,204723.57399664493
Sudoswap,Direct,0xb2a2a6a69e7a0ad66943f4c2869d45a9919cf740,203788.4639315273
Sudoswap,Direct,0x6eeb3b1c76d796dc92096f7a1879c781be511e11,202973.77116654467
