handle,ens_name,wallet,source,
JordanLyall,jordanlyall.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
pm,paulmckellar.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
mrsharma,,0x884F15E8432843770328703D9d401d1C54AdC246,https://twitter.com/capitalxyz/status/1481687607255965698,
"m1guelpf
",m1guelpf.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
cowfund.eth,divine_economy,,https://twitter.com/capitalxyz/status/1481687607255965698,
jsngr,jsngr.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
prestonattebery,viaaaron.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
JacobyBrandon,bkj.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
zoink,zoink.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
drakedanner,danner.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
packyM,NotBoring.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
just1n_eth,just1n.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
MissGallo,Laurengallo.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
seyitaylor,seyitaylor.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
chrismesinah,messina.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
JoshConstine,constine.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
BrandonMChu,brandonmchu.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
michaelmiraflor,michaelmiraflor.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
_EricHu,erichu.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
jacksondahl,jdahl.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
michah,michahb.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
schmooey,Schmooey.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
litcapital,litcoin.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
nassyweazy,nassyweazy.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
gaby_goldberg,Gaby.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
zjenis,thanosnaps.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
fabianstelzer,Fabians.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
the_carlosdp,carlosdp.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
tolusnotes,tolu.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
FemiAdebogun,femster.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
matt__alston,malston.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
0xkrita,kritha.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
vivianphung,vivianphung.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
benlakoff,Benlakoff.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
chriscantino,cantino.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
pitdesi,pitdesh.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
ArjunDArora,ArjunDevArora.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
Mazzeo,Mazzeo.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
harleyf,Harleyf.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
dan_sickles,dansickles.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
superamit,amitgupta.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
jarridvtingle,jarrid.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
paulcanetti,paulcanetti.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
ashleymayer,ashleymayer.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
eoghan,eoghan.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
mg,matt.galligan.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
WOLF_Financial,wolf🐺.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
TraceWall,Tracewall.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
austin_rief,420.69.ETH,,https://twitter.com/capitalxyz/status/1481687607255965698,
andykleinman,andykleinman.eth,,https://twitter.com/capitalxyz/status/1481687607255965698,
